Class,Gender,Race,MVP,Slots,Tier,Element,Moves,,,Class Description,Special,My reading,Base Stats Growth,,,,,,
Valkyrie,Female,Human,Yes,1,Base,Any,Cleave 2x,Cleave 1x,Lightning 2x,"Warrior maiden of the gods. She attacks gracefully with her  spear, and wields the power of wind.",Uses Lightning in back row.,"Average attack and defense, can use average magic in the back line",4,4,4,4,4,4,4
Cleric,Female,Human,Yes,1,Base,Any,Healing 1x,Healing 1x,Healing 2x,"Though forbidden to harm others, the Cleric is able to heal her companions through her faith.""",Uses Healing Magic in all rows.,"weak, but heals",4,3,4,5,5,3,3
Sorceress,Female,Human,Yes,1,Base,Any,Basic Magic 1x,Basic Magic 1x,Basic Magic 2x,"Beautiful female spellcaster who's magical ability is somewhat greater than the Wizards.""",Uses Basic Magic in all rows.,Similar to Wizard,3,3,3,5,5,3,3
Witch,Female,Human,Yes,1,Base,Any,Effect magic 1x,Effect magic 1x,Effect magic 2x,This class specializes in casting supportive spells. The wide brimmed hat is her trademark.,Uses Witch Magic in all rows.,"Weak physically, crowd control",4,3,3,6,5,4,4
Clay Golem,Genderless,Golem,Yes,2,Base,Any,Smash 3x,Smash 2x,Smash 1x,Giant animate statue made of clay. It is highly resistant to physical damage.,,"Average attack and defense, high HP. Can be boosted by doll master",5,5,6,3,3,3,4
Stone Golem,Genderless,Golem,Yes,2,Base,Any,Smash 3x,Smash 2x,Smash 1x,Golem made of stone. Its offensive and defensive capabilities surpasses those of normal Golems.,A Clay Golem will change into a Stone Golem when attacked by petrification.,"Average attack and defense, high HP. Can be boosted by doll master",5,6,6,3,3,3,4
Mithril Golem,Genderless,Golem,Yes,2,Base,Any,Smash 3x,Smash 2x,Smash 1x,"Golem made of magic metal Mithril. It is lighter than a Stone Golem, but is extremely resistant to physical damage.",A Stone Golem will change into a Mithril Golem when attacked by a wind/fire based spell.,"Average attack and defense, high HP. Can be boosted by doll master",5,6,7,3,4,4,4
Gryphon,Genderless,Monster,Yes,2,Base,Wind,Claw 2x,Claw 1x,Windshot 2x,"A half-lion, half-eagle beast that attacks with powerful gusts of wind.""",The Griffin uses the attack 'Wind Shot' in the back row. ,"Average attack, strong defense",4,4,4,3,4,6,4
Wyrm,Genderless,Monster,Yes,2,Base,Any,Bite 2x,Bite 2x,Bite 1x,"Large flying beast covered with scales, with bat-like wings.",Not considered Dragon. ,Average monster,4,5,5,3,3,5,4
Hellhound,Genderless,Monster,Yes,2,Base,Any,Bite 3x,Bite 2x,Bite 1x,Two headed canine with sharp fangs and powerful jaws designed to tear its enemy's flesh.,,"Strong and fast, the 3x attack is gold. Weak defensively.",4,5,5,4,3,4,3
Young Dragon,Genderless,Dragon,Yes,1,Base,Any,Bite 2x,Bite 1x,Bite 1x,"Even though immature and unable to use its breath weapon, its strength equals that of a full-grown beast.",,"Below average monster, but occupies 1 slot only",5,4,4,3,4,3,3
Thunder Dragon,Genderless,Dragon,Yes,2,Base,Wind,Bite 2x,Bite 1x,Thunder Breath 1x,Dragon of wind that spews lightning breath.,The Thunder Dragon uses the attack 'Lighting Breath' in the back row.,Strong dragon that uses eletric breaths,6,5,5,3,4,4,5
Red Dragon,Genderless,Dragon,Yes,2,Base,Fire,Bite 2x,Bite 1x,Fire Breath 1x,Dragon of flame that spews fire breath.,The Red Dragon uses the attack 'Fire Breath' in the back row.,Strong dragon that uses fire breaths,6,6,5,3,4,4,4
Earth Dragon,Genderless,Dragon,Yes,2,Base,Earth,Bite 2x,Bite 1x,Acid Breath 1x,Dragon of earth that spews acid breath.,The Earth Dragon uses the attack 'Acid Breath' in the back row.,Strong dragon that uses earth?(acid?) breaths,7,5,6,3,4,3,4
Blue Dragon,Genderless,Dragon,Yes,2,Base,Water,Bite 2x,Bite 1x,Cold Breath 1x,Dragon of water that spews breath of cold.,The Blue Dragon uses the attack 'Breath of Cold' in the back row.,Strong dragon that uses ice breaths,6,5,5,3,5,3,5
Platinum Dragon,Genderless,Dragon,Yes,2,Base,Light,Bite 2x,Bite 1x,Sacred Breath 1x,Silver-scaled dragon sanctified by the gods that spews Sacred Breath.,The Platinum Dragon uses the attack 'Sacred Breath' in the back row.,Strong dragon that uses divine breaths,6,5,6,4,4,3,4
Black Dragon,Genderless,Dragon,Yes,2,Base,Dark,Bite 2x,Bite 1x,Rotten Breath 1x,Black-scaled dragon of darkness that spews Rotten Breath.,The Black Dragon uses the attack 'Rotten Breath' in the back row.,Strong dragon that uses dark breaths,6,6,5,4,4,3,5
Hawkman,Male,Demi Human,Yes,1,Base,Any,Strike 2x,Strike 1x,Strike 1x,"Temperamental and aggressive, this class can move without terrain restrictions.""",,"Flying unit, average",4,4,4,3,3,4,3
Vultan,Male,Demi Human,Yes,1,Base,Light,Strike 2x,Strike 1x,Windshot 2x,"Descended from the ancient clan of noble Hawkmen, once said to have ruled the heavens.",The Vultan uses 'Wind Shot' when in the back rows.,"Flying unit, strong def, weaker attack",5,5,4,3,4,6,4
Raven,Male,Demi Human,Yes,1,Base,Dark,Strike 2x,Strike 1x,Thunder Arrow 2x,"Hawkman who fell in the way of darkness. Extremely violent, a Raven finds pleasure drawing blood.",The Raven uses 'Thunder Arrow'' when in the back rows.,"Flying unit, strong def, weaker attack",5,5,4,3,4,5,5
Faerie,Female,Demi Human,Yes,1,Base,Light,Throw a kiss 1x,Throw a kiss 1x,Magic Missile 2x,"Cute, tiny being with wings. Is she more than just a mascot?""",This unit uses 'Throw a Kiss' in front and middle row. It will power up friendly units. In the back the Faerie uses 'Magic Missile'.,"Weak unit, but boosts other unit and provides small heal",3,2,3,4,6,6,5
Gremlin,Male,Demi Human,Yes,1,Base,Dark,Throw a kiss 1x,Throw a kiss 1x,Abyss 2x,"Small creature originating from the netherworld. Despite its ugly looks, it is very amiable.","This unit uses 'Throw a Kiss' in front and middle row. It will power down enemy units. In the back the Gremlin uses 'Abyss', which can cause sleep.","Weak unit, but puts to sleep and heals a bit from its damage",3,2,3,5,6,6,6
Zombie (female),Male/Female,Undead,Yes,1,Base,Dark,Bite 2x,Bite 1x,Bite 1x,The living dead that continues to roam the battlefield.,,"Weak unit, may transform under certain conditions, imune to status conditions",4,4,2,2,3,3,3
Zombie (male),Male/Female,Undead,Yes,1,Base,Dark,Bite 2x,Bite 1x,Bite 1x,The living dead that continues to roam the battlefield.,,"Weak unit, may transform under certain conditions, imune to status conditions",5,4,3,2,3,3,3
Skeleton,Male/Female,Undead,Yes,1,Base,Dark,Strike 2x,Strike 1x,Strike 1x,Magically animated human remains. It will reform itself over and over again until released to sleep for eternity.,A Zombie must be attacked with a fire based spell to become a Skeleton.,"Stronger than zombie, strong attack, weak defense, imune to status conditions",4,5,2,2,3,4,4
Ghost,Male/Female,Undead,Yes,1,Base,Dark,Nightmare 1x,Nightmare 1x,Nightmare 2x,"Wandering spirit of the deceased. Since they are non-corporeal, physical attacks do minimal damage",A Skeleton must be attacked with a fire/wind based spell to become a  Ghost.,"Weak unit, but puts to sleep and its imune to status conditions",3,3,2,5,3,3,3
